x,y,z
0.075600006,-1.4768219,1.4428071
0.07800001,-1.4137101,1.4251184
0.080400005,-1.3505983,1.4074297
0.08280001,-1.2874866,1.3897411
0.085200004,-1.2243748,1.3720524
0.08760001,-1.161263,1.3543637
0.09,-1.0981512,1.3366752
0.092400014,-1.035039,1.3189864
0.0948,-0.9719274,1.3012978
0.09720001,-0.9088154,1.283609
0.09960001,-0.84570384,1.2659204
0.10200001,-0.7825918,1.2482316
0.10440002,-0.71948004,1.2305431
0.106800005,-0.6563685,1.2128544
0.109200016,-0.5932565,1.1951658
0.111600004,-0.53014493,1.1774771
0.114000015,-0.4670329,1.1597884
0.1164,-0.40392137,1.1420999
0.118800014,-0.34080935,1.1244111
0.1212,-0.27769756,1.1067225
0.12360001,-0.21458554,1.0890337
0.126,-0.151474,1.0713451
0.12840001,-0.08836198,1.0536563
0.13080001,-0.025250435,1.0359678
0.13320002,0.037861824,1.0182791
0.13560002,0.10097337,1.0005904
0.13800001,0.16408491,0.9829018
0.14040002,0.22719693,0.96521306
0.14280002,0.29030895,0.9475244
0.14520001,0.3534205,0.9298358
0.14760001,0.41653204,0.91214716
0.15000002,0.47964406,0.8944584
0.1524,0.5427556,0.8767699
0.15480001,0.60586786,0.85908115
0.15720001,0.66897917,0.8413925
0.1596,0.73209095,0.8237039
0.162,0.79520273,0.80601525
0.16440001,0.858315,0.7883265
0.1668,0.9214268,0.77063787
0.1692,0.9845381,0.75294924
0.17160001,1.0476503,0.7352606
0.17400001,1.1107621,0.71757185
0.1764,1.1738739,0.6998832
0.1788,1.2369852,0.6821946
0.18120001,1.3000975,0.66450596
0.18360002,1.3632092,0.6468172
0.18599999,1.4263206,0.6291287
0.18840002,1.4894328,0.6114398
0.19080003,1.5525451,0.5937511
0.19320004,1.6156569,0.57606244
0.1956,1.6787682,0.5583739
0.19800001,1.7418804,0.5406852
0.20040002,1.8049922,0.5229964
0.2028,1.8681035,0.50530803
0.2052,1.9312153,0.48761928
0.20760001,1.9943275,0.46993053
0.21000002,2.0574393,0.45224178
0.21240003,2.1205516,0.43455303
0.21480002,2.1836624,0.41686463
0.21720001,2.2467747,0.39917588
0.21960002,2.3098865,0.38148713
0.222,2.3729978,0.36379874
0.22440001,2.4361095,0.34611
0.22680002,2.4992218,0.32842124
